Supplier L Pricing For 4/26/2026,,,
Description,Variant Code,Price,Brand
MANDARIN 17KG SIZE 3 NP,,42,CAP AGRO
,,,LADY B
,B LOT,42,ZAOUIA
MANDARIN KINNOW 10KG SIZE 54,,26,TOPPINS
MANGO 10,,16,GENERIC
MANGO 9,,16,GENERIC
MANGO MINGOLO 2KG,,5,GENERIC
MANGO MINGOLO 4KG 12CT,,22,GENERIC
MANGO PALMER 9,,24,GRAND VALLE 
MANGO SUGAR 2KG,,15,FRUIT EXOTIC
MELON DINO 5,,30,CLASSIC
MELON HONEYDEW 5,,46,4 BOYS
MELON HONEYDEW 5 JUMBO,,32,KANDY
,SPECIAL,15,SOL
MELON JUAN CANARY 22LB-5,,18,GENERIC
METHI 24CT,,48,ST. CARLOS
MINT 24,,22,J.D. FRESH HERBS
MURCOTT 10KG 42,,28,AGROMOON
MURCOTT 10KG 48,,28,AGROMOON
MURCOTT 10KG 54,,28,AGROMOON
,B LOT,28,AGROMOON
MUSHROOM BRN (CREM) 227G,,21,UNIONVILLE
MUSHROOM BROWN 5LBS,,15.5,UNIONVILLE
MUSHROOM BROWN SELECT,,20,A. & J. MUSHROOM
MUSHROOM OYSTER 5LB,,44,UNIONVILLE
MUSHROOM PORTABELLO 5 LB,,23,UNIONVILLE
MUSHROOM SELECT WHITE,,19,UNIONVILLE
MUSHROOM SHI TAKI LG,,26,UNIONVILLE
MUSHROOM WHITE 227G,,20,UNIONVILLE
MUSHROOM WHITE 5LB,,14.5,UNIONVILLE
NECTARINE VF 48/50,,80,EXTRA VALUE
NECTARINE VF 56,,80,EXTRA VALUE
NECTARINE VF 64,,80,EXTRA VALUE
NUT PISTACHIO COMBO 1/4 BIN,,1600,WONDERFUL
NUT PISTACHIO COMBO 450GR BIN,,1500,WONDERFUL
NUT PISTACHIO FLAV HR+SC+SP+SV,,550,WONDERFUL
NUT PISTACHIO FLAV JL+CR,,550,WONDERFUL
NUT PISTACHIO S&P 12X200G,,65,WONDERFUL
NUT PISTACHIO SC 12X200G,,65,WONDERFUL
NUT PISTACHIO SH COMBO LS & RS,,550,WONDERFUL
OKRA INDIAN,,46,GENERIC
ONION 10LB MEDIUM,BP,4.5,GENERIC
ONION 16x3,,28,GENERIC
ONION GREEN ICELESS LARGE,,35,BAJA
,,,CHIVETTE
ONION GREEN ICELESS MEDIUM,,30,CHIVETTE
ONION RED 16X3LB,BP,39,GENERIC
ONION RED 7LB,BP,4.5,GENERIC
ONION YELLOW 24X2LB,BP,22.5,IPPOLITO
ORANGE BLOOD 1/2 CARTON 72,,30,SUNKIST
ORANGE BLOOD 70,SANG,70,BOLLO
ORANGE BLOOD 80,SANG,70,BOLLO
ORANGE CARA CONSUMER PAK 56,,30,CLASSIC
,,,SUNKIST
ORANGE NAVEL CAT.I 54,PLU,52,BOLLO
ORANGE VALENCIA CAT II 72,NON PLU,24,AGROMOON
,,,PALM EGYPT
ORANGE VALENCIA CAT II 80,NON PLU,24,PALM EGYPT
ORANGE VALENCIA CAT II 88,NON PLU,24,AGROMOON
,,,PALM EGYPT
ORANGE VALENCIA CAT. I 80,NON PLU,24,AGROMOON
,,,KING
ORANGE VALENCIA CAT. I 88,NON PLU,24,AGROMOON
,,,KING
ORANGE VALENCIA CAT. II 100,NON PLU,24,AGROMOON
,,,PALM EGYPT
PARSLEY CURLY 30 CT,,28,JJ LOOP
,,,LITTLE BEAR
PARSLEY PLAIN 30 CT,,28,JJ LOOP
,,,LITTLE BEAR
PASSIONFRUIT MILAGROSA,,30,BAYSHORE
PASSIONFRUIT PURPLE,,16,FRUIT EXOTIC
PEACH VF 48/50,,55,EXTRA VALUE
PEACH VF 56,,55,EXTRA VALUE
PEACH VF 64,,55,EXTRA VALUE
PEAR ANJOU RED 45,,40,CMI
PEAR BARTLETT 100,ARGENTINA,52,DON ELIAS
PEAR BARTLETT 60,ARGENTINA,55,DON ELIAS
PEAR BARTLETT 70,ARGENTINA,55,DON ELIAS
PEAR BARTLETT 80,ARGENTINA,55,DON ELIAS
PEAR BARTLETT 90,ARGENTINA,52,DON ELIAS
PEAR CELINA QTEE 70,,28,STARGROW
PEAR CELINA QTEE 80,,28,STARGROW
PEAR PRICKLEY CONS PAK 18 MEX,,26,VILLA
PEPPER CHILI LONG GREEN,,80,GENERIC
PEPPER CUBANELLE,,80,EAST COAST GROWERS
PEPPER GREEN JUMBO 10KG,,35,EAST COAST GROWERS
,LOCAL,43,LOCAL
,,,SAM DARAICHE
,,,ST. DAVID'S
PEPPER GREEN LG 10KG,RECLAM,18,MEXICO
PEPPER HABANERO,,45,SWEET SEASONS
PEPPER HOT YELLOW BUSHEL 1 1/9,,85,B.J. BROTHERS
,B LOT,85,B.J. BROTHERS
PEPPER JALOPENO 1 1/9 BUSHEL,,90,B.J. BROTHERS
,,,FRESH FARMS 
PEPPER MINI SWEET,,38,GREAT LAKES
,BP,38,GENERIC
PEPPER ORANGE JUMBO 5KG,,30,CARROUSEL
,LOCAL,30,ST. DAVID'S
,,,SUNTASTIC
PEPPER RED JUMBO 5KG,,34,CARROUSEL
,,,DEL FRESCO
,LOCAL,30,ST. DAVID'S
,,,SUNTASTIC
,,,ZAKARIA
PEPPER RUSTIC ORANGE,,20,CARROUSEL
,,,ST. DAVID'S
PEPPER RUSTIC RED,,35,CARROUSEL
,,,GENERIC
,,,ST. DAVID'S
PEPPER RUSTIC YELLOW,,20,CARROUSEL
PEPPER SERRANO 1 1/9 BUSHEL,,20,B.J. BROTHERS
,B LOT,20,B.J. BROTHERS
PEPPER THAI CHILI 30 LB,,68,GENERIC
,,,SANJAY
PEPPER YELLOW JUMBO 5KG,,30,CARROUSEL
,LOCAL,30,ST. DAVID'S
,,,SUNTASTIC
PERSIMMON FUYU 9,,20,HMV
PINEAPPLE 6,,20,KAPI
,MEXICO,28,GOOD NEWS
PINEAPPLE 8,MEXICO,27,GOOD NEWS
PINEAPPLE CROWNLESS 5 PACK 7,,28,KAPI
,MEXICO,34,GOOD NEWS
PINEAPPLE CROWNLESS 6 PACK 8,,28,DOLE
,,,KAPI
PINEAPPLE GOLDEN 6,,32,KAPI
,MEXICO,32,GOOD NEWS
PISTACHIO RSTD NO SALT 24X225,,118,WONDERFUL
PISTACHIO RSTD SALT 24X225,,118,WONDERFUL
PLUM BLACK VF 48,,48,CYD
,,,DDC
PLUM BLACK VF 60-65,,40,CYD
PLUM CHERRY 10X2LB BAG,,20,CYD
PLUM RED VF 50-55,,20,MONTE ALTO L. ANNE
,PF,20,TUNICHE
PLUM RED VF 60-65,,40,CYD
PLUM SUGAR 10X2LB BAG,,30,TRIO FRUIT
POMEGRANATE 10,INDIA,18,KAY BEE
POMEGRANATE 12,INDIA,18,KAY BEE
POMEGRANATE 8,INDIA,18,KAY BEE
POMEGRANATE 9,INDIA,18,KAY BEE
POMEGRANATE PERU 10,,26,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
,SILVER,26,SIEMBRA
POMEGRANATE PERU 14,,22,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
POMEGRANATE PERU 8,,26,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
,SILVER,26,SIEMBRA
POMEGRANATE PERU 9,,26,ATHOS
,,,SIEMBRA
,,,SOBI FRUITS
,SILVER,26,SIEMBRA
POTATO BAKERS 60,,35,GENERIC
POTATO BAKERS 70,BP,27,EARTH FRESH
POTATO GOURMET FINGERLING 50LB,,78,EARTH FRESH
POTATO GRMET FINGERLING 16X1.5,,48,EARTH FRESH
POTATO RED 10x5,BP,33,EARTH FRESH
POTATO RED CREAMER BOX,,68,EARTH FRESH
POTATO WHITE 10x5,BP,33,EARTH FRESH
POTATO WHITE A BAG 50 LB,BP,41,EARTH FRESH
POTATO WHITE A BOX,,68,EARTH FRESH
POTATO YUKON 10x5,BP,33,EARTH FRESH
POTATO YUKON A BAG 50 LB,BP,35,EARTH FRESH
POTATO YUKON A BOX,,68,GENERIC
POTATO YUKON CREAMER BOX,,68,EARTH FRESH
QUINCE SINGLE LAYER 14,,25,CORE
RADICCHIO 12,,20,CARROUSEL
,SPECIAL,10,CARROUSEL
RADICCHIO CASTELFRANCO,,50,JOE'S
RADICCHIO TREVISO,,20,CARROUSEL
RADISH 16OZ,,31,JARDINS
RADISH BUNCH 24,,38,CHIVETTE
,LOCAL,30,BERTRAND
,,,GENERIC
RADISH HORSERADISH 5LB,,30,GENERIC
RADISH WATERMELON,,40,DEN BOER
RAPINI 26CT,,82,ANDY BOY
RASPBERRY 6OZ,GREEN DOLE,24,DOLE
,GREEN DRIS,24,DRISCOLL'S
,RED DOLE,24,DOLE
,SPECIAL,24,PARADISE
RASPBERRY PINT,RED DRIS,48,DRISCOLL'S
RHUBARB,,58,LENNOX FARM
ROSEMARY,,11,J.D. FRESH HERBS
SAGE,,14,JAYCEE HERBS
SHARON FRUIT 10x1,,30,GALILEE
SHARON FRUIT 18,,8,GALILEE
SPINACH BUNCH,,44,CONTENDER
,,,OCEAN MIST
,MEXICO,44,ST. CARLOS
SQUASH LONG 40LB,,70,GENERIC
STRAWBERRY 1LB,GREEN DRIS,34,DRISCOLL'S
,GREEN SD,32,SWEET DARLING
,GREEN WP,32,WELL PICT – OXN
,,,WELL PICT - WATS
,P GREEN,32,GEM PACK
,P RED,32,WELL PICT – OXN
,RECLAM,30,MAIN STREET
STRAWBERRY DRIS SWEETEST 14OZ,GREEN DRIS,84,DRISCOLL'S
SUB ONION RED 35 LB/OREGON,,31,RIVER POINT
SUGARCANE,,28,GENERIC
SWISS CHARD GREEN 12CT,,36,JJ LOOP
,,,LITTLE BEAR
SWISS CHARD RAINBOW 12CT,,32,LITTLE BEAR
SWISS CHARD RED 12CT,,32,LITTLE BEAR
TAMARILLO,,30,MONCO
TANGERINE ORTANIQUE 48,,20,DARLING
TANGERINE ORTANIQUE 54,,20,DARLING
THYME,,12,BONCHEFF
,,,J.D. FRESH HERBS
TOMATO CHERRY COMPARI,,22,SAVOURA
,,,VILLAGE FARMS
TOMATO CHERRY STEM,,45,SAVOURA
TOMATO CHERRY STEM CLAMSHELL,,45,SAVOURA
,SPECIAL,32,DEL FRESCO
TOMATO CLUSTER RED,,39,KOMIENSKI FARMS
,,,LOCAL
,,,NATURE FRESH
,,,SAVOURA
,,,TRICAR
TOMATO GOURMET MEDLEY,,38,S & S
,,,SUNSET
,,,VILLAGE FARMS
TOMATO GRAPE CLAMSHELL,,38,CARROUSEL
,,,RED SUN
,,,S & S
,,,TOPLINE
,,,ZAKARIA
,LOCAL,38,CARROUSEL
,SPECIAL,30,VINELAND
TOMATO GRAPE ROMA,SPECIAL,32,VILLAGE FARMS
TOMATO HEIRLOOM,,36,DEL FRESCO
,,,SUNSET
TOMATO HEIRLOOM PACKAGED,,30,DEL FRESCO
TOMATO HOTHOUSE 18,,65,SAVOURA
TOMATO HOTHOUSE 20/22,,65,DEL FRESCO
,,,SAVOURA
TOMATO HOTHOUSE 24/26,,65,KOMIENSKI FARMS
,,,LOCAL
,,,SAVOURA
TOMATO HOTHOUSE GREEN,,30,NATURE FRESH
TOMATO KUMATO,,48,DEL FRESCO
TOMATO MULTI-COLOR,,55,SAVOURA
TOMATO ROMA JUMBO,,79,FRESH FARMS 
,DOMINICAN,79,ROSELAND
,GUATEMALAN,79,CARROUSEL
TOMATO ROMA XL,,75,FRESH FARMS 
,,,LOCAL
,DOMINICAN,75,ROSELAND
,GUATEMALAN,75,CARROUSEL
TURNIP RUTABAGA WAX,,32,GAMBLES
WATERMELON 4,SPECIAL,30,SOL
WATERMELON BIN 36,P GREEN,450,BORDERS
,,,GENERIC
,,,SOUTHERN CORPORATE PACKERS
WATERMELON BIN 45,P GREEN,450,SOUTHERN CORPORATE PACKERS
WATERMELON BIN SEEDED 35,P GREEN,450,SOUTHERN CORPORATE PACKERS
WATERMELON BIN SUGARBABE 60/65,,200,HEALTHY HARVEST
WATERMELON PERSONAL 6,,34,SOL
,SPECIAL,10,SOL
YAM LG,,42,HAM'S YAMS
,BP,42,GENERIC
ZUCCHINI FANCY,,42,FRESH FARMS 
,,,SUN ONE
ZUCCHINI MEDIUM,,40,FRESH FARMS 
